Date,Open,High,Low,Close,Adj Close,Volume
2020-01-08,9.030000,9.990000,9.000000,9.790000,9.790000,4933200
2020-01-09,9.810000,10.050000,9.610000,9.770000,9.770000,2759000
2020-01-10,9.870000,10.040000,9.620000,9.990000,9.990000,1812100
2020-01-13,10.690000,11.330000,10.600000,11.220000,11.220000,4720600
2020-01-14,11.290000,11.790000,10.870000,11.600000,11.600000,3729200
2020-01-15,11.560000,12.110000,11.560000,11.900000,11.900000,3106800
2020-01-16,11.320000,11.850000,11.250000,11.830000,11.830000,3042300
2020-01-17,11.820000,11.950000,11.380000,11.410000,11.410000,2431600
2020-01-21,11.400000,11.400000,11.040000,11.210000,11.210000,2751500
2020-01-22,11.310000,11.750000,11.310000,11.440000,11.440000,2166600
2020-01-23,11.500000,11.920000,11.290000,11.750000,11.750000,4918200
2020-01-24,11.770000,11.980000,11.200000,11.380000,11.380000,2779200
2020-01-27,11.140000,11.310000,10.840000,11.080000,11.080000,1702900
2020-01-28,10.470000,11.270000,10.450000,11.250000,11.250000,2132300
2020-01-29,11.380000,11.560000,11.040000,11.270000,11.270000,1893100
2020-01-30,11.150000,11.330000,11.070000,11.290000,11.290000,1344000
2020-01-31,11.270000,11.310000,10.880000,10.890000,10.890000,1469500
2020-02-03,11.000000,11.270000,10.990000,11.000000,11.000000,2320100
2020-02-04,11.140000,11.760000,11.070000,11.710000,11.710000,1973200
2020-02-05,11.870000,12.490000,11.830000,12.340000,12.340000,2987400
2020-02-06,12.390000,12.400000,11.930000,12.080000,12.080000,1532900
2020-02-07,12.000000,12.010000,10.830000,10.920000,10.920000,2325000
2020-02-10,10.970000,11.110000,10.670000,11.000000,11.000000,1728300
2020-02-11,11.050000,11.280000,10.910000,11.270000,11.270000,1469100
2020-02-12,11.370000,12.300000,11.370000,11.920000,11.920000,2487800
2020-02-13,11.800000,12.190000,11.610000,12.130000,12.130000,1953600
2020-02-14,12.150000,12.310000,11.760000,11.800000,11.800000,1331500
2020-02-18,11.750000,12.220000,11.680000,12.130000,12.130000,1496800
2020-02-19,12.210000,12.560000,12.020000,12.260000,12.260000,1766700
2020-02-20,12.200000,12.470000,11.980000,12.410000,12.410000,1190900
2020-02-21,12.390000,12.390000,11.900000,11.960000,11.960000,1771100
2020-02-24,11.270000,11.560000,11.170000,11.370000,11.370000,1649600
2020-02-25,11.510000,11.670000,10.580000,10.600000,10.600000,2750300
2020-02-26,10.600000,10.880000,10.110000,10.240000,10.240000,4280400
2020-02-27,10.870000,11.090000,9.740000,9.740000,9.740000,5230100
2020-02-28,9.200000,9.540000,9.010000,9.160000,9.160000,4763000
2020-03-02,9.330000,9.570000,8.820000,9.530000,9.530000,4099500
2020-03-03,9.610000,10.120000,9.350000,9.500000,9.500000,2187200
2020-03-04,9.780000,9.880000,9.330000,9.810000,9.810000,1480500
2020-03-05,9.500000,9.610000,8.830000,9.000000,9.000000,2186700
2020-03-06,8.690000,8.960000,8.390000,8.500000,8.500000,2293600
2020-03-09,7.770000,8.000000,7.400000,7.800000,7.800000,2527900
2020-03-10,8.200000,8.260000,7.730000,8.170000,8.170000,1802400
2020-03-11,7.970000,8.120000,7.570000,7.690000,7.690000,2234900
2020-03-12,6.850000,7.020000,6.410000,6.520000,6.520000,3385400
2020-03-13,6.840000,6.980000,6.000000,6.500000,6.500000,3229700
2020-03-16,5.500000,6.140000,5.400000,5.580000,5.580000,2631900
2020-03-17,5.790000,6.650000,5.200000,6.470000,6.470000,3783600
2020-03-18,6.000000,6.950000,5.820000,6.900000,6.900000,2831200
2020-03-19,6.620000,7.350000,6.400000,6.640000,6.640000,3051400
2020-03-20,6.970000,7.000000,5.960000,6.030000,6.030000,3367600
2020-03-23,6.050000,6.180000,5.500000,5.900000,5.900000,2271300
2020-03-24,6.270000,6.530000,6.000000,6.470000,6.470000,2477600
2020-03-25,6.730000,7.230000,6.470000,6.930000,6.930000,3378700
2020-03-26,7.100000,7.560000,6.980000,7.520000,7.520000,3059700
2020-03-27,7.280000,7.790000,7.010000,7.420000,7.420000,3781300
2020-03-30,8.020000,8.050000,7.500000,7.860000,7.860000,4143100
2020-03-31,7.850000,8.440000,7.660000,7.710000,7.710000,4511100
